date_logged,sport,matchup,game_date,pick,pitcher,price,edge_pct,win_prob_pct,confidence,num_books,reasoning,result,date_graded,bet_type,line
2026-07-24,baseball_mlb,Los Angeles Dodgers @ New York Mets,"Jul 24, 2026 11:11 PM UTC",Los Angeles Dodgers,Roki Sasaki,1.74,-2.0,56.4,51,9,Los Angeles Dodgers brings a stronger offense (5.19 vs 4.07 runs/game); gets a start from Roki Sasaki (4.98 ERA); backed by the #3 bullpen in MLB (3.13 ERA); holds the better season record (63% vs 41%); has been strong on the road this season (64%).,WIN,2026-07-25,,
2026-07-24,baseball_mlb,Toronto Blue Jays @ Boston Red Sox,"Jul 24, 2026 11:16 PM UTC",Boston Red Sox,Patrick Sandoval,1.78,-0.7,55.7,51,9,"Boston Red Sox is playing better lately (9-1 in their last 10); backed by the #4 bullpen in MLB (3.19 ERA); holds the better season record (51% vs 45%). Game at a hitter-friendly park (factor 108), expect added scoring variance.",WIN,2026-07-25,,
2026-07-24,baseball_mlb,Houston Astros @ Chicago White Sox,"Jul 24, 2026 11:41 PM UTC",Chicago White Sox,Davis Martin,1.76,0.3,57.0,53,9,Chicago White Sox gets a start from Davis Martin (3.31 ERA); backed by the #8 bullpen in MLB (3.28 ERA); is playing better lately (7-3 in their last 10); has been strong at home this season (64%); holds the better season record (53% vs 48%).,LOSS,2026-07-25,,
2026-07-24,baseball_mlb,Seattle Mariners @ Texas Rangers,"Jul 25, 2026 12:06 AM UTC",Seattle Mariners,Bryce Miller,1.86,3.2,55.5,56,9,Seattle Mariners gets a start from Bryce Miller (2.27 ERA); backed by the #5 bullpen in MLB (3.22 ERA).,LOSS,2026-07-25,,
2026-07-24,baseball_mlb,Athletics @ Minnesota Twins,"Jul 25, 2026 12:11 AM UTC",Minnesota Twins,Zebby Matthews,1.7,1.0,59.3,56,9,Minnesota Twins gets a start from Zebby Matthews (5.4 ERA); is playing better lately (5-5 in their last 10); backed by the #20 bullpen in MLB (3.85 ERA); holds the better season record (49% vs 42%).,LOSS,2026-07-25,,
2026-07-24,baseball_mlb,Los Angeles Angels @ San Francisco Giants,"Jul 25, 2026 02:16 AM UTC",San Francisco Giants,Logan Webb,1.59,-4.9,59.9,55,9,"San Francisco Giants gets a start from Logan Webb (3.87 ERA); backed by the #14 bullpen in MLB (3.45 ERA). Game at a pitcher-friendly park (factor 94), lower-scoring environment likely.",WIN,2026-07-25,,
2026-07-25,baseball_mlb,Los Angeles Angels @ San Francisco Giants,"Jul 25, 2026 08:06 PM UTC",San Francisco Giants,Robbie Ray,1.78,8.5,61.1,66,9,"San Francisco Giants gets a start from Robbie Ray (3.33 ERA); backed by the #13 bullpen in MLB (3.47 ERA). Game at a pitcher-friendly park (factor 94), lower-scoring environment likely.",WIN,2026-07-26,,
2026-07-25,baseball_mlb,Toronto Blue Jays @ Boston Red Sox,"Jul 25, 2026 08:11 PM UTC",Boston Red Sox,Sonny Gray,1.93,8.1,56.0,61,9,"Boston Red Sox is playing better lately (9-1 in their last 10); gets a start from Sonny Gray (2.48 ERA); backed by the #7 bullpen in MLB (3.28 ERA); holds the better season record (52% vs 45%). Game at a hitter-friendly park (factor 108), expect added scoring variance.",LOSS,2026-07-26,,
2026-07-25,baseball_mlb,Houston Astros @ Chicago White Sox,"Jul 25, 2026 11:11 PM UTC",Chicago White Sox,Sean Burke,1.81,-0.1,55.3,51,9,Chicago White Sox gets a start from Sean Burke (3.2 ERA); backed by the #11 bullpen in MLB (3.36 ERA); is playing better lately (7-3 in their last 10); has been strong at home this season (63%); holds the better season record (52% vs 48%).,LOSS,2026-07-26,,
2026-07-25,baseball_mlb,Los Angeles Dodgers @ New York Mets,"Jul 25, 2026 11:16 PM UTC",Los Angeles Dodgers,Yoshinobu Yamamoto,1.65,-3.0,58.7,53,9,Los Angeles Dodgers brings a stronger offense (5.18 vs 4.05 runs/game); gets a start from Yoshinobu Yamamoto (2.78 ERA); backed by the #3 bullpen in MLB (3.14 ERA); holds the better season record (63% vs 41%); is playing better lately (5-5 in their last 10); has been strong on the road this season (64%); hits righties well this season (0.785 OPS).,WIN,2026-07-26,,
2026-07-26,baseball_mlb,Toronto Blue Jays @ Boston Red Sox,"Jul 26, 2026 05:36 PM UTC",Boston Red Sox,Ranger Suarez,1.74,3.9,59.7,59,9,"Boston Red Sox is playing better lately (8-2 in their last 10); gets a start from Ranger Suarez (3.15 ERA); backed by the #7 bullpen in MLB (3.26 ERA); holds the better season record (51% vs 45%). Game at a hitter-friendly park (factor 108), expect added scoring variance.",WIN,2026-07-27,,
